z1,z2,z3,z4,z5,z6,z7,province,year,split
-0.00201005,1.5677568,-0.006462369,-0.4504245,1.6636686,0.42338002,-0.101578236,15 Monte Cristi,2023,test
-0.7622136,0.3396541,-0.42056566,0.39573413,3.187694,0.10152566,0.06019268,16 Pedernales,2015,train
1.4776943,1.7980688,1.8732883,1.0888407,2.3092682,1.3967185,0.944538,16 Pedernales,2016,train
0.35097182,3.5657825,0.43259156,0.3264509,2.408989,0.89619225,2.6186163,16 Pedernales,2017,train
0.14081992,1.7498097,-0.6989727,0.71938527,2.979481,-0.88683707,2.3812466,16 Pedernales,2018,train
0.54031557,2.5213728,-0.75516695,1.1247872,1.468497,0.48324382,0.09401982,16 Pedernales,2019,train
0.7137593,1.9820974,0.88958603,0.57268864,1.892064,0.9486168,1.023555,16 Pedernales,2020,val
0.68616176,2.81429,0.120012105,0.51672596,2.0570729,0.2726599,2.3529918,16 Pedernales,2021,val
0.33821398,2.0217612,0.32603887,0.22280452,1.7289838,0.47595543,1.3960129,16 Pedernales,2022,test
0.08753715,2.0145636,-0.1698651,0.40083653,1.878659,0.7494897,0.5638571,16 Pedernales,2023,test
-0.83926034,-0.9674106,-0.5280526,-0.13241917,0.5475821,-0.7324048,-0.005936449,17 Peravia,2015,train
0.72893614,-0.22549652,0.98636657,0.31486386,-0.035863113,0.3402984,0.00032411233,17 Peravia,2016,train
-0.303323,0.40076295,0.3704173,-0.35034728,-0.27967095,0.10059906,0.59801024,17 Peravia,2017,train
-0.74191314,-0.6792586,-0.21782912,-1.6299868,0.85556275,-2.3786442,2.444972,17 Peravia,2018,train
-0.0053041386,0.07360258,-0.066311456,0.045070436,-0.055196654,-0.0073849857,0.061915956,17 Peravia,2019,train
0.22635436,0.26913047,0.65382326,-0.18373387,-0.22463146,0.063463114,0.9225806,17 Peravia,2020,val
-0.0932107,0.091814816,0.13686217,-0.19714977,0.053033687,-0.26354012,0.5976624,17 Peravia,2021,val
