province,year,week,neighbor_incidence_lag0,neighbor_incidence_lag1,neighbor_incidence_lag2,n_neighbors
09 Espaillat,2017,7,0.09054948524170298,0.4347294926508473,0.32104597598484663,20
09 Espaillat,2017,8,0.11217428790694628,0.09054948524170298,0.4347294926508473,20
09 Espaillat,2017,9,0.335280898847986,0.11217428790694628,0.09054948524170298,20
09 Espaillat,2017,10,0.19378956478346868,0.335280898847986,0.11217428790694628,20
09 Espaillat,2017,11,0.3381908365662026,0.19378956478346868,0.335280898847986,20
09 Espaillat,2017,12,0.23101814410538674,0.3381908365662026,0.19378956478346868,20
09 Espaillat,2017,13,0.466780279860111,0.23101814410538674,0.3381908365662026,20
09 Espaillat,2017,14,0.4229891228916577,0.466780279860111,0.23101814410538674,20
09 Espaillat,2017,15,0.24112566346647013,0.4229891228916577,0.466780279860111,20
09 Espaillat,2017,16,0.1986327465036634,0.24112566346647013,0.4229891228916577,20
09 Espaillat,2017,17,0.36355997488872116,0.1986327465036634,0.24112566346647013,20
09 Espaillat,2017,18,0.3188380517450125,0.36355997488872116,0.1986327465036634,20
09 Espaillat,2017,19,0.5265994216800947,0.3188380517450125,0.36355997488872116,20
09 Espaillat,2017,20,0.6891861643998183,0.5265994216800947,0.3188380517450125,20
09 Espaillat,2017,21,0.6218258725534309,0.6891861643998183,0.5265994216800947,20
09 Espaillat,2017,22,0.8998617983609294,0.6218258725534309,0.6891861643998183,20
09 Espaillat,2017,23,0.28689016890230484,0.8998617983609294,0.6218258725534309,20
09 Espaillat,2017,24,0.39721276578153464,0.28689016890230484,0.8998617983609294,20
09 Espaillat,2017,25,0.4188165606516969,0.39721276578153464,0.28689016890230484,20
09 Espaillat,2017,26,0.5877091816082247,0.4188165606516969,0.39721276578153464,20
09 Espaillat,2017,27,0.36083925978278664,0.5877091816082247,0.4188165606516969,20
09 Espaillat,2017,28,0.4615537194191467,0.36083925978278664,0.5877091816082247,20
09 Espaillat,2017,29,0.3083164214727324,0.4615537194191467,0.36083925978278664,20
09 Espaillat,2017,30,0.49040886989245347,0.3083164214727324,0.4615537194191467,20
09 Espaillat,2017,31,0.49309532883454354,0.49040886989245347,0.3083164214727324,20
09 Espaillat,2017,32,0.5403205496812695,0.49309532883454354,0.49040886989245347,20
09 Espaillat,2017,33,0.27166525021273047,0.5403205496812695,0.49309532883454354,20
09 Espaillat,2017,34,0.4220995346048435,0.27166525021273047,0.5403205496812695,20
09 Espaillat,2017,35,0.08223543776711505,0.4220995346048435,0.27166525021273047,20
09 Espaillat,2017,36,0.5658358976557425,0.08223543776711505,0.4220995346048435,20
09 Espaillat,2017,37,0.6732206706291617,0.5658358976557425,0.08223543776711505,20
09 Espaillat,2017,38,0.4456434985489898,0.6732206706291617,0.5658358976557425,20
09 Espaillat,2017,39,0.6029523254733657,0.4456434985489898,0.6732206706291617,20
09 Espaillat,2017,40,0.7501277817600152,0.6029523254733657,0.4456434985489898,20
09 Espaillat,2017,41,0.2810530970636195,0.7501277817600152,0.6029523254733657,20
09 Espaillat,2017,42,0.2833680940977021,0.2810530970636195,0.7501277817600152,20
09 Espaillat,2017,43,0.17967757644475257,0.2833680940977021,0.2810530970636195,20
09 Espaillat,2017,44,0.10073111968441946,0.17967757644475257,0.2833680940977021,20
09 Espaillat,2017,45,0.20277927051632127,0.10073111968441946,0.17967757644475257,20
09 Espaillat,2017,46,0.7036935358652324,0.20277927051632127,0.10073111968441946,20
09 Espaillat,2017,47,0.4198957273051407,0.7036935358652324,0.20277927051632127,20
09 Espaillat,2017,48,0.6918845107571635,0.4198957273051407,0.7036935358652324,20
09 Espaillat,2017,49,0.20982912369005907,0.6918845107571635,0.4198957273051407,20
09 Espaillat,2017,50,0.04387699821913549,0.20982912369005907,0.6918845107571635,20
09 Espaillat,2017,51,0.12967631290218778,0.04387699821913549,0.20982912369005907,20
09 Espaillat,2017,52,0.06475985092225375,0.12967631290218778,0.04387699821913549,20
09 Espaillat,2018,1,0.6277364802542376,0.06475985092225375,0.12967631290218778,20
09 Espaillat,2018,2,0.0913955446816147,0.6277364802542376,0.06475985092225375,20
09 Espaillat,2018,3,0.25837181295808465,0.0913955446816147,0.6277364802542376,20
09 Espaillat,2018,4,0.32678413839675524,0.25837181295808465,0.0913955446816147,20
09 Espaillat,2018,5,0.3530720851702425,0.32678413839675524,0.25837181295808465,20
09 Espaillat,2018,6,0.28412012233979356,0.3530720851702425,0.32678413839675524,20
09 Espaillat,2018,7,0.6181532890001433,0.28412012233979356,0.3530720851702425,20
09 Espaillat,2018,8,0.25250671712738293,0.6181532890001433,0.28412012233979356,20
09 Espaillat,2018,9,0.4657863317265091,0.25250671712738293,0.6181532890001433,20
09 Espaillat,2018,10,0.7110457074133991,0.4657863317265091,0.25250671712738293,20
09 Espaillat,2018,11,0.32254764379310286,0.7110457074133991,0.4657863317265091,20
09 Espaillat,2018,12,0.22978338763106426,0.32254764379310286,0.7110457074133991,20
09 Espaillat,2018,13,0.14712105363908307,0.22978338763106426,0.32254764379310286,20
09 Espaillat,2018,14,0.2492541961294798,0.14712105363908307,0.22978338763106426,20
09 Espaillat,2018,15,0.2929830051756224,0.2492541961294798,0.14712105363908307,20
09 Espaillat,2018,16,0.18145993903092347,0.2929830051756224,0.2492541961294798,20
09 Espaillat,2018,17,0.3810679585560744,0.18145993903092347,0.2929830051756224,20
09 Espaillat,2018,18,0.4985318570250987,0.3810679585560744,0.18145993903092347,20
09 Espaillat,2018,19,0.224386828567482,0.4985318570250987,0.3810679585560744,20
09 Espaillat,2018,20,0.32862516646101825,0.224386828567482,0.4985318570250987,20
09 Espaillat,2018,21,0.17331267213050397,0.32862516646101825,0.224386828567482,20
09 Espaillat,2018,22,0.08367172371587629,0.17331267213050397,0.32862516646101825,20
09 Espaillat,2018,23,0.2432440795069522,0.08367172371587629,0.17331267213050397,20
09 Espaillat,2018,24,0.1996312401888416,0.2432440795069522,0.08367172371587629,20
09 Espaillat,2018,25,0.23580360059581415,0.1996312401888416,0.2432440795069522,20
09 Espaillat,2018,26,0.033217770810752986,0.23580360059581415,0.1996312401888416,20
09 Espaillat,2018,27,0.3669465799465271,0.033217770810752986,0.23580360059581415,20
09 Espaillat,2018,28,0.2746561256906732,0.3669465799465271,0.033217770810752986,20
09 Espaillat,2018,29,0.14459852404953577,0.2746561256906732,0.3669465799465271,20
09 Espaillat,2018,30,0.12927162080592303,0.14459852404953577,0.2746561256906732,20
09 Espaillat,2018,31,0.434768497554469,0.12927162080592303,0.14459852404953577,20
09 Espaillat,2018,32,0.23078489149924178,0.434768497554469,0.12927162080592303,20
09 Espaillat,2018,33,0.4751685850204473,0.23078489149924178,0.434768497554469,20
