z1,z2,z3,z4,z5,z6,province,year,split
-0.82912153,-0.73137784,-0.28254205,-0.77321947,0.5624417,1.1108527,21 San Cristóbal,2015,train
1.1901116,-0.2353,1.2313874,-0.6861717,0.41873577,-0.5724272,21 San Cristóbal,2016,train
-0.15447418,1.1177036,0.39156213,-0.106769934,0.65176195,-1.2398349,21 San Cristóbal,2017,train
-1.2013098,0.63923675,-0.36161935,-0.7785454,0.71772873,-0.32654583,21 San Cristóbal,2018,train
-0.13741672,0.03519811,0.7303231,-0.83618546,0.108966,0.5235017,21 San Cristóbal,2019,train
0.6374053,0.3888228,0.8686573,-0.26747885,0.43376505,-1.3210524,21 San Cristóbal,2020,val
-0.41795903,0.6426072,-0.17022325,-0.41810617,0.87508786,-0.7824301,21 San Cristóbal,2021,val
-2.3846078,-1.2291621,0.91998154,0.68536615,-0.005879987,1.7783529,22 San Juan,2015,train
-0.23034774,-0.5358426,2.9346883,1.3934585,-1.0035847,-0.7072984,22 San Juan,2016,train
-1.4316025,-0.12335244,1.1121935,2.3036368,0.3082649,-0.8217725,22 San Juan,2017,train
-2.3082008,-0.69889534,0.38092083,1.7458051,1.0286626,0.6873663,22 San Juan,2018,train
-1.2713836,-0.6717175,1.8518518,1.5128818,-0.40282208,1.1884048,22 San Juan,2019,train
-0.85358584,-0.81523544,1.3022915,2.020369,0.53695804,-0.9483068,22 San Juan,2020,val
-2.71645,-0.5579837,0.9251973,2.102878,0.27303228,-1.4251413,22 San Juan,2021,val
0.124633834,-0.21549319,-1.0895373,-1.0430931,0.25106272,1.1307316,23 San Pedro de Macorís,2015,train
2.1348984,0.3491331,0.21297936,-0.4913183,0.16820711,-0.13952321,23 San Pedro de Macorís,2016,train
0.69804287,1.0113953,-0.81671166,0.32489297,0.3867978,-0.8048608,23 San Pedro de Macorís,2017,train
-0.28617725,0.748255,-1.3005322,-0.26229978,0.15387183,-0.115715995,23 San Pedro de Macorís,2018,train
0.47293854,0.23439325,-0.013156907,-0.17473455,-0.28742084,0.7515572,23 San Pedro de Macorís,2019,train
1.2468287,0.87886786,-0.53400886,0.49160358,-0.6456611,-1.2271656,23 San Pedro de Macorís,2020,val
0.36188823,1.0297067,-1.0260531,0.07018401,0.33764344,-0.40658766,23 San Pedro de Macorís,2021,val
-1.566862,-1.9518834,0.48911002,-0.3524171,0.1136863,0.4011803,24 Sánchez Ramírez,2015,train
0.06738189,-1.0969605,1.4927799,0.43225962,0.19434355,-1.7933123,24 Sánchez Ramírez,2016,train
-1.120002,-0.1653532,1.033713,0.34014195,0.037915125,-2.0696967,24 Sánchez Ramírez,2017,train
-2.4925647,-0.78486955,-0.1663201,0.24341282,0.2557381,-1.4617563,24 Sánchez Ramírez,2018,train
-0.7834231,-0.79394484,0.94364065,-0.0012495748,-0.2038352,-0.0053293225,24 Sánchez Ramírez,2019,train
-0.3080407,-0.5012862,1.490143,0.6418474,-0.32337302,-1.8243265,24 Sánchez Ramírez,2020,val
-2.5505779,0.6346578,1.1280849,0.7597618,-0.8671571,-1.1109115,24 Sánchez Ramírez,2021,val
-1.0461652,-2.6474736,-0.32718104,0.08677515,1.6419182,1.0846657,25 Santiago,2015,train
