z1,z2,province,year,week,split
4.6129766,16.077808,02 Azua,2017,3,train
7.0879583,19.739332,02 Azua,2017,4,train
7.2869854,4.148052,02 Azua,2017,5,train
7.828502,4.2228055,02 Azua,2017,6,train
13.192878,8.20743,02 Azua,2017,7,train
13.890249,6.489984,02 Azua,2017,8,train
5.0536594,-0.22977024,02 Azua,2017,9,train
6.6051455,-0.67599016,02 Azua,2017,10,train
17.61484,-1.7396127,02 Azua,2017,11,train
18.706156,-3.2429097,02 Azua,2017,12,train
18.400595,-1.4290723,02 Azua,2017,13,train
13.7580385,-0.31167227,02 Azua,2017,14,train
13.563823,-0.11571668,02 Azua,2017,15,train
15.962939,-5.769203,02 Azua,2017,16,train
15.518495,-12.555431,02 Azua,2017,17,train
17.389114,-6.9609504,02 Azua,2017,18,train
16.08196,-5.0071197,02 Azua,2017,19,train
5.9714165,-13.352259,02 Azua,2017,20,train
1.9019623,-12.892438,02 Azua,2017,21,train
