z1,z2,z3,z4,z5,z6,z7,z8,province,year,week,split
-5.694463,2.1857533,3.4718003,-0.29465905,-1.0915066,5.2681413,-2.0082185,-9.106526,01 Distrito Nacional,2017,37,train
-7.21996,2.331863,6.437629,-3.6418743,1.129867,6.093719,-2.2696538,-6.2936873,01 Distrito Nacional,2017,38,train
-4.545281,2.8071663,3.4863396,-0.7974203,-0.45068288,4.204248,-2.5822036,-7.7240834,01 Distrito Nacional,2017,39,train
-4.3928275,6.118589,6.7114196,-1.4105397,0.35548744,6.3783374,-3.439975,-11.023602,01 Distrito Nacional,2017,40,train
-3.9377677,6.194512,5.521418,-1.6434249,0.9297024,5.7686033,-2.021483,-8.684431,01 Distrito Nacional,2017,41,train
-4.332236,6.0368314,7.2165227,-1.1035687,1.1154177,6.5106883,-1.1618074,-7.150412,01 Distrito Nacional,2017,42,train
-3.0465584,7.042353,5.673087,0.42508745,0.44908336,5.6644025,-1.9387758,-6.8790874,01 Distrito Nacional,2017,43,train
-3.4863617,7.1073117,5.986079,1.0713615,0.81807685,5.943661,-0.665421,-5.0121555,01 Distrito Nacional,2017,44,train
3.3401654,14.326893,10.921095,-15.517902,-3.5055933,4.492992,-12.870038,-17.993378,01 Distrito Nacional,2017,45,train
3.625914,14.571561,7.845482,-14.717292,-4.8618445,6.112532,-5.9460235,-16.992554,01 Distrito Nacional,2017,46,train
-1.5221379,11.898921,7.7662544,-3.0902765,-0.18929148,7.4392476,-1.2791849,-5.9636497,01 Distrito Nacional,2017,47,train
-0.69950056,10.206156,5.1174283,1.2576557,-0.7931281,6.652833,2.1126406,-6.2644825,01 Distrito Nacional,2017,48,train
-1.0753498,10.275717,1.4208744,1.546203,-4.8561544,4.570153,4.282542,-3.9789934,01 Distrito Nacional,2017,49,train
-0.15372884,11.888995,1.3014882,0.35469377,-3.9582264,3.966225,4.2942348,-0.860541,01 Distrito Nacional,2017,50,train
0.07006554,13.054637,2.8855817,1.860289,-4.3382535,5.2131433,6.2269354,-0.029412394,01 Distrito Nacional,2017,51,train
-3.0514781,11.490277,4.0455475,-1.0267226,-4.1077495,1.215662,10.939709,-2.7737305,01 Distrito Nacional,2017,52,train
-1.8350978,14.793066,10.025493,-4.346608,1.2441341,5.8894615,12.718824,-12.271999,01 Distrito Nacional,2018,1,train
-2.027344,14.684932,11.113647,-4.4593077,1.27373,4.711094,12.129714,-11.377508,01 Distrito Nacional,2018,2,train
-3.493323,12.578025,12.109041,-2.4802601,1.6009157,2.0958176,14.047435,-11.210857,01 Distrito Nacional,2018,3,train
-2.3616655,11.72287,11.578255,-1.3109453,3.495216,2.3665545,12.996283,-8.283713,01 Distrito Nacional,2018,4,train
2.263797,15.463061,10.04248,0.24944937,5.0688586,5.420002,4.932079,-2.6734388,01 Distrito Nacional,2018,5,train
7.1136723,13.779697,4.4531174,7.2766104,-2.6285074,-4.9019403,8.864686,-5.6132174,01 Distrito Nacional,2018,6,train
8.170218,13.737576,4.850323,7.0501804,0.7739089,-7.017645,9.478086,-3.8706727,01 Distrito Nacional,2018,7,train
6.5966735,10.091248,5.146197,6.9027987,3.4758112,-6.6553206,8.542607,-2.131859,01 Distrito Nacional,2018,8,train
8.18299,10.247573,5.477479,4.4751563,7.026438,-10.198388,6.8571978,-1.2935787,01 Distrito Nacional,2018,9,train
